fio,admission_year,study_form,ct_score,certificate_score,total_score,specialty,address,phone
Маркова Прасковья Николаевна,2025,Бюджет,52,6.8,120.0,Лингвистика,"п. Буденновск, пр. Макаренко, д. 8/5 стр. 32, 242782",+73060108343
Бобылева Варвара Михайловна,2022,Бюджет,79,9.0,169.0,Журналистика,"к. Верхоянск, пр. Папанина, д. 882 стр. 6, 063065",81813292304
Большаков Олимпий Глебович,2025,Целевая,28,6.8,96.0,Экономика,"к. Элиста, ул. Выгонная, д. 29 к. 4/4, 642109",8 490 973 93 02
Викторин Егорович Елисеев,2024,Платная,61,8.5,146.0,Дизайн,"д. Андреаполь, ш. Лесхозное, д. 509, 201892",8 (148) 572-91-74
Модест Тихонович Куликов,2021,Целевая,70,8.1,151.0,Журналистика,"клх Москва, пр. Севастопольский, д. 22 к. 8/9, 966582",+79960289629
Пестов Парамон Егорович,2022,Платная,78,6.7,145.0,Информатика и вычислительная техника,"клх Красная Поляна, бул. Бабушкина, д. 541 стр. 48, 708560",+7 (652) 850-07-45
Матвей Давыдович Щукин,2021,Бюджет,41,7.4,115.0,Юриспруденция,"с. Хабаровск, ул. Донская, д. 405 к. 3, 340453",+7 825 983 8706
Королева Фёкла Григорьевна,2022,Бюджет,45,7.3,118.0,Психология,"п. Аршан (Бурят.), алл. Кавказская, д. 2 стр. 37, 352214",+71270560480
Лобанова Тамара Борисовна,2025,Бюджет,54,8.2,136.0,Психология,"ст. Тихорецк, наб. Литейная, д. 25, 020124",8 (059) 919-6252
Якушева Евгения Григорьевна,2023,Целевая,34,7.4,108.0,Дизайн,"с. Анива, алл. Отрадная, д. 8/2, 832218",83906597713
Быкова Александра Олеговна,2024,Бюджет,71,6.0,131.0,Строительство,"клх Игнашино, пер. Папанина, д. 3/7, 602537",8 (504) 864-9819
Беляков Геннадий Валерианович,2024,Бюджет,69,6.9,138.0,Менеджмент,"с. Калевала, алл. Театральная, д. 666, 477324",8 (704) 088-79-32
Аксенов Авдей Измаилович,2021,Платная,78,9.3,171.0,Психология,"ст. Усмань, пр. Социалистический, д. 55 к. 487, 994516",8 (341) 778-3544
